"","id","fullName","link","career_goals","career_points","career_PIM"
"198",8447827,"Charley McVeigh","/api/v1/people/8447827",84,173,132
"199",8448332,"Jim Riley","/api/v1/people/8448332",0,2,10
"200",8448429,"Eddie Rodden","/api/v1/people/8448429",6,20,60
"201",8449251,"Art Townsend","/api/v1/people/8449251",0,0,0
"202",8449253,"Bob Trapp","/api/v1/people/8449253",4,8,131
"203",8449254,"Percy Traub","/api/v1/people/8449254",3,6,225
"204",8450013,"Hugh Lehman","/api/v1/people/8450013",NA,NA,NA
"205",8444855,"Clarence Abel","/api/v1/people/8444855",20,38,365
"206",8445142,"Leo Bourgeault","/api/v1/people/8445142",25,45,336
"207",8445148,"Billy Boyd","/api/v1/people/8445148",15,22,74
"208",8445187,"Stan Brown","/api/v1/people/8445187",8,11,18
"209",8445529,"Bill Cook","/api/v1/people/8445529",228,366,386
"210",8445535,"Fred Cook","/api/v1/people/8445535",158,304,458
"211",8447098,"Ivan Johnson","/api/v1/people/8447098",38,86,836
"212",8447573,"Reg Mackey","/api/v1/people/8447573",0,0,16
"213",8447913,"Murray Murdoch","/api/v1/people/8447913",84,188,193
"214",8448095,"Lester Patrick","/api/v1/people/8448095",0,0,2
"215",8448314,"Ollie Reinikka","/api/v1/people/8448314",0,0,0
"216",8449232,"Paul Thompson","/api/v1/people/8449232",153,331,346
"217",8449850,"Lorne Chabot","/api/v1/people/8449850",NA,NA,NA
"218",8450150,"Hal Winkler","/api/v1/people/8450150",NA,NA,NA
"219",8446673,"Milt Halliday","/api/v1/people/8446673",1,1,4
"220",8444967,"Ty Arbour","/api/v1/people/8444967",28,56,110
"221",8447779,"Mickey McGuire","/api/v1/people/8447779",3,3,6
"222",8445162,"Archie Briden","/api/v1/people/8445162",9,14,56
"223",8446493,"Frank Fredrickson","/api/v1/people/8446493",39,73,211
"224",8446558,"Percy Galbraith","/api/v1/people/8446558",31,60,238
"225",8447143,"Duke Keats","/api/v1/people/8447143",29,48,114
"226",8448055,"Harry Oliver","/api/v1/people/8448055",127,212,147
"227",8449024,"Eddie Shore","/api/v1/people/8449024",105,284,1099
"228",8444964,"Jack Arbour","/api/v1/people/8444964",5,6,58
"229",8445962,"Art Duncan","/api/v1/people/8445962",18,34,233
"230",8446463,"Frank Foyston","/api/v1/people/8446463",17,24,30
"231",8446613,"Fred Gordon","/api/v1/people/8446613",8,15,70
"232",8446662,"Harold Halderson","/api/v1/people/8446662",3,5,65
"233",8446727,"Gizzy Hart","/api/v1/people/8446727",6,15,12
"234",8447517,"Clem Loughlin","/api/v1/people/8447517",8,14,81
"235",8448039,"Russell Oatman","/api/v1/people/8448039",20,29,98
"236",8449007,"Johnny Sheppard","/api/v1/people/8449007",69,127,228
"237",8449310,"Jack Walker","/api/v1/people/8449310",5,13,16
"238",8450121,"Herb Stuart","/api/v1/people/8450121",NA,NA,NA
"239",8446514,"Art Gagne","/api/v1/people/8446514",67,101,259
"240",8446564,"Herb Gardiner","/api/v1/people/8446564",10,20,48
"241",8446572,"Art Gauthier","/api/v1/people/8446572",0,0,0
"242",8447283,"Leo Lafrance","/api/v1/people/8447283",2,2,6
"243",8447887,"Amby Moran","/api/v1/people/8447887",1,2,24
"244",8448080,"Pete Palangio","/api/v1/people/8448080",13,23,28
"245",8449987,"George Hainsworth","/api/v1/people/8449987",NA,NA,NA
"246",8444998,"Ace Bailey","/api/v1/people/8444998",111,192,488
"247",8445203,"Bill Brydge","/api/v1/people/8445203",26,78,516
"248",8445345,"Bill Carson","/api/v1/people/8445345",54,81,121
"249",8445762,"Danny Cox","/api/v1/people/8445762",48,98,110
"250",8446649,"Lloyd Gross","/api/v1/people/8446649",11,15,22
"251",8447144,"Butch Keeling","/api/v1/people/8447144",157,221,341
"252",8448098,"George Patterson","/api/v1/people/8448098",51,78,220
"253",8448226,"Al Pudas","/api/v1/people/8448226",0,0,0
"254",8449308,"Carl Voss","/api/v1/people/8449308",34,105,50
"255",8445923,"Babe Donnelly","/api/v1/people/8445923",0,1,14
"256",8445969,"Red Dutton","/api/v1/people/8445969",28,96,884
"257",8446152,"Hap Emms","/api/v1/people/8446152",36,89,324
"258",8450144,"Flat Walsh","/api/v1/people/8450144",NA,NA,NA
"259",8445143,"Clarence Boucher","/api/v1/people/8445143",2,5,137
"260",8445526,"Bob Connors","/api/v1/people/8445526",17,27,108
"261",8446877,"Normie Himes","/api/v1/people/8446877",107,219,125
"262",8448949,"Laurie Scott","/api/v1/people/8448949",6,9,28
"263",8445189,"Cecil Browne","/api/v1/people/8445189",2,2,4
"264",8446631,"Ted Graham","/api/v1/people/8446631",14,40,301
"265",8446891,"Val Hoffinger","/api/v1/people/8446891",0,1,28
"266",8447671,"Eddie McCalmon","/api/v1/people/8447671",5,5,12
"267",8447870,"Earl Miller","/api/v1/people/8447870",19,33,130
"268",8449156,"Barney Stanley","/api/v1/people/8449156",0,0,0
"269",8449220,"Ralph Taylor","/api/v1/people/8449220",4,5,174
"270",8449366,"Nick Wasnie","/api/v1/people/8449366",57,91,178
"271",8449383,"Cy Wentworth","/api/v1/people/8449383",39,107,359
"272",8449966,"Charlie Gardiner","/api/v1/people/8449966",NA,NA,NA
"273",8445311,"Frank Callighen","/api/v1/people/8445311",0,0,32
"274",8446641,"Alex Gray","/api/v1/people/8446641",7,8,30
"275",8450043,"Joe Miller","/api/v1/people/8450043",NA,NA,NA
"276",8445442,"Gene Chouinard","/api/v1/people/8445442",0,0,0
"277",8446600,"Sam Godin","/api/v1/people/8446600",4,7,34
"278",8446652,"Len Grosvenor","/api/v1/people/8446652",9,20,82
"279",8449019,"Al Shields","/api/v1/people/8449019",42,89,618
"280",8445262,"Marty Burke","/api/v1/people/8445262",18,66,578
"281",8445474,"Dit Clapper","/api/v1/people/8445474",229,477,452
"282",8445488,"Nobby Clark","/api/v1/people/8445488",0,0,0
"283",8445525,"Harry Connor","/api/v1/people/8445525",16,21,149
"284",8446557,"Dutch Gainor","/api/v1/people/8446557",51,107,129
"285",8447337,"Martin Lauder","/api/v1/people/8447337",0,0,2
"286",8444987,"Larry Aurie","/api/v1/people/8444987",147,275,283
"287",8449006,"Frank Sheppard","/api/v1/people/8449006",1,1,0
"288",8446571,"Leo Gaudreault","/api/v1/people/8446571",8,12,38
"289",8447523,"Gerry Lowrey","/api/v1/people/8447523",47,95,166
"290",8448197,"Joe Primeau","/api/v1/people/8448197",66,243,105
"291",8448244,"Beattie Ramsay","/api/v1/people/8448244",0,2,10
"292",8449060,"Art Smith","/api/v1/people/8449060",15,25,253
"293",8445183,"Fred Brown","/api/v1/people/8445183",1,1,0
"294",8447306,"Joe Lamb","/api/v1/people/8447306",110,211,595
"295",8449246,"Bill Touhey","/api/v1/people/8449246",65,103,92
"296",8449341,"Jimmy Ward","/api/v1/people/8449341",147,275,463
"297",8445026,"Marty Barry","/api/v1/people/8445026",194,387,231
"298",8445288,"Bobby Burns","/api/v1/people/8445288",1,1,2
"299",8445746,"Rosie Couture","/api/v1/people/8445746",48,103,185
"300",8446617,"Johnny Gottselig","/api/v1/people/8446617",176,372,211
"301",8447468,"Art Lesieur","/api/v1/people/8447468",4,6,52
"302",8447609,"Mush March","/api/v1/people/8447609",153,384,546
"303",8448334,"Vic Ripley","/api/v1/people/8448334",51,100,170
"304",8445347,"Gerry Carson","/api/v1/people/8445347",12,22,203
"305",8447318,"Myles Lane","/api/v1/people/8447318",4,5,53
"306",8449292,"Sparky Vail","/api/v1/people/8449292",4,5,26
"307",8446144,"Fred Elliott","/api/v1/people/8446144",2,2,8
"308",8447221,"Lloyd Klein","/api/v1/people/8447221",30,55,68
"309",8448078,"George Owen","/api/v1/people/8448078",44,77,151
"310",8448138,"Eric Pettinger","/api/v1/people/8448138",7,19,85
"311",8449381,"Cooney Weiland","/api/v1/people/8449381",173,335,149
"312",8450127,"Tiny Thompson","/api/v1/people/8450127",NA,NA,NA
"313",8445839,"Frank Daley","/api/v1/people/8445839",0,0,0
"314",8447484,"Herbie Lewis","/api/v1/people/8447484",147,308,248
"315",8449897,"Dolly Dolson","/api/v1/people/8449897",NA,NA,NA
"316",8447604,"Georges Mantha","/api/v1/people/8447604",90,193,146
"317",8447884,"Armand Mondou","/api/v1/people/8447884",47,118,101
"318",8445093,"Andy Blair","/api/v1/people/8445093",74,161,325
"319",8446915,"Red Horner","/api/v1/people/8446915",42,152,1288
"320",8449983,"Benny Grant","/api/v1/people/8449983",NA,NA,NA
"321",8446857,"Henry Hicks","/api/v1/people/8446857",5,7,69
"322",8447652,"Cliff McBride","/api/v1/people/8447652",0,0,0
"323",8448034,"Baldy Northcott","/api/v1/people/8448034",133,245,271
"324",8448372,"Earl Robinson","/api/v1/people/8448372",83,181,153
"325",8449264,"Dave Trottier","/api/v1/people/8449264",121,234,521
"326",8444863,"Stew Adams","/api/v1/people/8444863",9,35,70
"327",8445127,"Helge Bostrom","/api/v1/people/8445127",3,6,68
"328",8445537,"Tom Cook","/api/v1/people/8445537",76,174,180
"329",8447018,"Frank Ingram","/api/v1/people/8447018",24,40,69
"330",8449126,"Art Somers","/api/v1/people/8449126",33,89,195
